Title,Genre,Plot,Is the movie primarily a love story or romance?,Does the plot revolve around family dynamics or drama?,Is there a significant element of friendship in the movie?,Is the movie set in a rural village?,Is there a major focus on social or political issues?,Does the movie feature a strong female lead character?,Is the protagonist seeking revenge as part of the story?,Is there a supernatural or fantasy element in the plot?,Is the movie set during a historical period?,Does the plot involve a wedding or marriage as a central theme?,Is there a significant action or crime-related element in the movie?,Is the movie a biopic or based on true events?,Does the film involve a journey or travel as part of the story?,Is the movie known for its music or significant song sequences?,Does the movie take place in a metropolitan city or urban setting?
Triumph of Justice,Crime,"This film claimed realist intent, mainly for its thinly veiled allusions to a major scandal in Bombay known as the Champsi-Haridas murder case.",No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes
Sushila the Virtous,"Drama, Crime","This love story claims to uphold the tradition of domesticated female virtue. The story tells of virtuous Sushila and her husband Pratap, who leads a peaceful life until her former suitor Jaswant arrives on a social call. His appearance prompts Pratap to suspect his wife's marital fidelity and he drives the visitor away.",No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No
The Debt of Sin,"Drama, Crime","A moralistic social film in a contemporary setting. The plot concerns a young woman, Sarojini, who, under the influence of her jailbird cousin Jairam swindles her aged husband and ruins her lover, the next door neighbor Thakurdas.",No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes
20th Century,Drama,"This social film attacks Bombay's industrial parvenu class, initiating the realist-reformist melodrama as a genre. It tells of the street hawker Devdas, who goes to the city to make his fortune but, once successful, becomes an exploitative cotton mill owner and a callous snob knighted by the British.",No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes
Prithvi Vallabh,"Drama, History","Seminal silent historical film, the story features King Munja, ruler of Aranti, famed warrior and patron of the arts. Munja (Sandow) falls into the hands of his arch enemy Tailap, who received assistance from Bhillam (Altekar), king of Dharavati. Tailap orders that Munja be put to death but is held back by Tailap's powerful sister Minalvati (Fatma Begum), a widow who first wants to break Munja's spirit. Instead, she and Munja fall in love.",Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No
Social Pirates,"Drama, Crime","Millionarie Ratanlal is an old man without an heir. He marries the rich, Western-educated Mohini. He has two managers, the sincere and faithful Dhairyadhar and the Anglicised crook Manhar. Mohini, bored with her marriage, falls in love with Manhar who embezzles Rs. 50,000 from Ratanlal's office and frames Dhairyadhar for the crime, who is imprisoned. Mohini's affair with Manhar develops and they decide to eliminate old man Ratanlal...",No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes
Kulin Kanta,Crime,"The story for this film was derived from the Bawla murder case. The maharaja of Holkar fell in love with a dancing girl named Mumtaz (Moti) who spurned his advances because she loved another man. In fact, the maharaja had the man kidnapped in full public view and killed.",No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes
The Light of Asia,Drama,"Living an indolent life in a luxurious palace, Prince Gautama (Rai) is insulated by his family from the harshness of the world outside. But he is destined to learn greater truths: shocked to discover the pain and suffering of so many in his kingdom, he abandons his privileged existence, and his wife Gopa (Seeta Devi), to become a wandering teacher, eventually finding enlightenment and founding Buddhism. Featuring superimposed images and deep-focus shots that were highly impressive for the time, Light of Asia astutely combines a deeply felt spirituality with the surefire attraction of Indian exotica, which helped make it a considerable success in Europe.",No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No
Typist Girl,Drama,"Indian silent film starring Ruby Mayer (Sulochana), released in 1926.",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Sati Savitri,"Drama, Fantasy","Baburao Painter’s mythological silent feature SatiSavitri (1927) narrates the tale of love and devotion of legendary Savitri, who won back her husband from the Lord of death Yama. Only 32 minutes exists.",Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
