title,genre,plot,release_date,directors,"is the movie either drama, adventure, or music?","is the movie either romance, mystery, or history?","is the movie either action, horror, or documentary?","is the movie either comedy, family, or fantasy?",is the movie released in the 2010s or 1990s?,"is the movie released in the 2020s, 2000s, or 1980s?","is the movie released in the 1970s, 1960s, 1950s, 1940s, 1930s, or 1920s?","is the movie directed by david dhawan, mahesh bhatt, ram gopal varma, vikram bhatt, or priyadarshan?","is the movie directed by rama rao tatineni, k. bapaiah, ram gopal varma, vikram bhatt, or david dhawan?","is the movie directed by shantaram rajaram vankudre, mehboob khan, hrishikesh mukherjee, bimal roy, or adoor gopalakrishnan?",imdb_id,cast,"Does the movie feature any of these actors: Mithun Chakraborty, Akshay Kumar, Ajay Devgn, Govinda, or Jackie Shroff?","Is one of these actors in the movie: Mithun Chakraborty, Amitabh Bachchan, Sanjay Dutt, Jeetendra, or Raj Babbar?","Does the cast include any of these actors: Ashok Kumar, Dev Anand, Raj Kapoor, Vyjayanthimala, or Meena Kumari?"
Triumph of Justice,['Crime'],"This film claimed realist intent, mainly for its thinly veiled allusions to a major scandal in Bombay known as the Champsi-Haridas murder case.",1924-01-01,['Homi Master'],No,No,No,No,No,No,Yes,No,No,No,tt0255288,"Zubeida, Sultana, Homi Master",No,No,No
Sushila the Virtous,"['Drama', ' Crime']","This love story claims to uphold the tradition of domesticated female virtue. The story tells of virtuous Sushila and her husband Pratap, who leads a peaceful life until her former suitor Jaswant arrives on a social call. His appearance prompts Pratap to suspect his wife's marital fidelity and he drives the visitor away.",1924-01-01,['Kanjibhai Rathod'],Yes,No,No,No,No,No,Yes,No,No,No,tt0255562,Raja Sandow P.K.,No,No,No
The Debt of Sin,"['Drama', ' Crime']","A moralistic social film in a contemporary setting. The plot concerns a young woman, Sarojini, who, under the influence of her jailbird cousin Jairam swindles her aged husband and ruins her lover, the next door neighbor Thakurdas.",1924-01-01,['Ardeshir Irani'],Yes,No,No,No,No,No,Yes,No,No,No,tt0215021,"Bhagwati Prasad Mishra, Tara, Asooji",No,No,No
20th Century,['Drama'],"This social film attacks Bombay's industrial parvenu class, initiating the realist-reformist melodrama as a genre. It tells of the street hawker Devdas, who goes to the city to make his fortune but, once successful, becomes an exploitative cotton mill owner and a callous snob knighted by the British.",1924-01-01,['Homi Master'],Yes,No,No,No,No,No,Yes,No,No,No,tt0238864,"Raja Sandow P.K., Mohammed Noor, Gang Ram",No,No,No
Prithvi Vallabh,"['Drama', ' History']","Seminal silent historical film, the story features King Munja, ruler of Aranti, famed warrior and patron of the arts. Munja (Sandow) falls into the hands of his arch enemy Tailap, who received assistance from Bhillam (Altekar), king of Dharavati. Tailap orders that Munja be put to death but is held back by Tailap's powerful sister Minalvati (Fatma Begum), a widow who first wants to break Munja's spirit. Instead, she and Munja fall in love.",1924-01-04,['Manilal Joshi'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0232468,"Wagle Sandow, Sultana, Fatma Begum",No,No,No
Social Pirates,"['Drama', ' Crime']","Millionarie Ratanlal is an old man without an heir. He marries the rich, Western-educated Mohini. He has two managers, the sincere and faithful Dhairyadhar and the Anglicised crook Manhar. Mohini, bored with her marriage, falls in love with Manhar who embezzles Rs. 50,000 from Ratanlal's office and frames Dhairyadhar for the crime, who is imprisoned. Mohini's affair with Manhar develops and they decide to eliminate old man Ratanlal...",1925-01-01,['Nanubhai B. Desai'],Yes,No,No,No,No,No,Yes,No,No,No,tt0213903,"Fatma Begum, Mohanlala, Dorabji Mewawala",No,No,No
Kulin Kanta,['Crime'],"The story for this film was derived from the Bawla murder case. The maharaja of Holkar fell in love with a dancing girl named Mumtaz (Moti) who spurned his advances because she loved another man. In fact, the maharaja had the man kidnapped in full public view and killed.",1925-01-01,['Homi Master'],No,No,No,No,No,No,Yes,No,No,No,tt0239100,"Moti, Jamna, Yakbal",No,No,No
The Light of Asia,['Drama'],"Living an indolent life in a luxurious palace, Prince Gautama (Rai) is insulated by his family from the harshness of the world outside. But he is destined to learn greater truths: shocked to discover the pain and suffering of so many in his kingdom, he abandons his privileged existence, and his wife Gopa (Seeta Devi), to become a wandering teacher, eventually finding enlightenment and founding Buddhism. Featuring superimposed images and deep-focus shots that were highly impressive for the time, Light of Asia astutely combines a deeply felt spirituality with the surefire attraction of Indian exotica, which helped make it a considerable success in Europe.",1925-10-22,"['Franz Osten', 'Himanshu Rai']",Yes,No,No,No,No,No,Yes,No,No,No,tt0016240,"Devi. Sita, Prafulla Roy Ghosh, Himanshu Rai",No,No,No
Typist Girl,['Drama'],"Indian silent film starring Ruby Mayer (Sulochana), released in 1926.",1926-10-30,"['Devare S. Gajanan', 'Chandulal Shah']",Yes,No,No,No,No,No,Yes,No,No,No,tt20588890,"Raja Sandow P.K., Gohar Jan, Sulochana",No,No,No
Sati Savitri,"['Drama', ' Fantasy']","Baburao Painter’s mythological silent feature SatiSavitri (1927) narrates the tale of love and devotion of legendary Savitri, who won back her husband from the Lord of death Yama. Only 32 minutes exists.",1927-01-01,['Baburao Painter'],Yes,No,No,Yes,No,No,Yes,No,No,No,tt0249938,"Gulab Bai, Anusuya Bai, Sushila Bai",No,No,No
